$DATA1 SOURCE='PrimeSim HSPICE' VERSION='R-2020.12-SP2 linux64' PARAM_COUNT=1
.TITLE '**testbench**'
 size             rising_delay     temper           alter#          
  2.540e-06        1.357e-10         25.0000        1               
  2.550e-06        1.357e-10         25.0000        1               
  2.560e-06        1.359e-10         25.0000        1               
  2.570e-06        1.362e-10         25.0000        1               
  2.580e-06        1.364e-10         25.0000        1               
  2.590e-06        1.366e-10         25.0000        1               
  2.600e-06        1.372e-10         25.0000        1               
  2.610e-06        1.370e-10         25.0000        1               
  2.620e-06        1.368e-10         25.0000        1               
  2.630e-06        1.374e-10         25.0000        1               
  2.640e-06        1.369e-10         25.0000        1               
  2.650e-06        1.371e-10         25.0000        1               
  2.660e-06        1.380e-10         25.0000        1               
  2.670e-06        1.259e-10         25.0000        1               
  2.680e-06        1.375e-10         25.0000        1               
  2.690e-06        1.380e-10         25.0000        1               
  2.700e-06        1.378e-10         25.0000        1               
  2.710e-06        1.379e-10         25.0000        1               
  2.720e-06        1.382e-10         25.0000        1               
  2.730e-06        1.384e-10         25.0000        1               
  2.740e-06        1.386e-10         25.0000        1               
  2.750e-06        1.388e-10         25.0000        1               
  2.760e-06        1.389e-10         25.0000        1               
  2.770e-06        1.394e-10         25.0000        1               
  2.780e-06        1.393e-10         25.0000        1               
  2.790e-06        1.394e-10         25.0000        1               
  2.800e-06        1.396e-10         25.0000        1               
  2.810e-06        1.398e-10         25.0000        1               
  2.820e-06        1.400e-10         25.0000        1               
  2.830e-06        1.402e-10         25.0000        1               
  2.840e-06        1.403e-10         25.0000        1               
  2.850e-06        1.404e-10         25.0000        1               
  2.860e-06        1.406e-10         25.0000        1               
  2.870e-06        1.407e-10         25.0000        1               
  2.880e-06        1.408e-10         25.0000        1               
  2.890e-06        1.422e-10         25.0000        1               
  2.900e-06        1.408e-10         25.0000        1               
  2.910e-06        1.299e-10         25.0000        1               
  2.920e-06        1.415e-10         25.0000        1               
  2.930e-06        1.419e-10         25.0000        1               
  2.940e-06        1.420e-10         25.0000        1               
  2.950e-06        1.416e-10         25.0000        1               
  2.960e-06        1.430e-10         25.0000        1               
  2.970e-06        1.415e-10         25.0000        1               
  2.980e-06        1.425e-10         25.0000        1               
  2.990e-06        1.426e-10         25.0000        1               
  3.000e-06        1.429e-10         25.0000        1               
  3.010e-06        1.429e-10         25.0000        1               
  3.020e-06        1.441e-10         25.0000        1               
  3.030e-06        1.433e-10         25.0000        1               
  3.040e-06        1.433e-10         25.0000        1               
  3.050e-06        1.445e-10         25.0000        1               
  3.060e-06        1.435e-10         25.0000        1               
  3.070e-06        1.432e-10         25.0000        1               
  3.080e-06        1.438e-10         25.0000        1               
  3.090e-06        1.441e-10         25.0000        1               
  3.100e-06        1.453e-10         25.0000        1               
  3.110e-06        1.453e-10         25.0000        1               
  3.120e-06        1.446e-10         25.0000        1               
  3.130e-06        1.454e-10         25.0000        1               
  3.140e-06        1.454e-10         25.0000        1               
  3.150e-06        1.460e-10         25.0000        1               
  3.160e-06        1.463e-10         25.0000        1               
  3.170e-06        1.467e-10         25.0000        1               
  3.180e-06        1.338e-10         25.0000        1               
  3.190e-06        1.457e-10         25.0000        1               
  3.200e-06        1.467e-10         25.0000        1               
  3.210e-06        1.464e-10         25.0000        1               
  3.220e-06        1.462e-10         25.0000        1               
  3.230e-06        1.475e-10         25.0000        1               
  3.240e-06        1.346e-10         25.0000        1               
  3.250e-06        1.351e-10         25.0000        1               
  3.260e-06        1.500e-10         25.0000        1               
  3.270e-06        1.501e-10         25.0000        1               
  3.280e-06        1.481e-10         25.0000        1               
  3.290e-06        1.471e-10         25.0000        1               
  3.300e-06        1.480e-10         25.0000        1               
  3.310e-06        1.468e-10         25.0000        1               
  3.320e-06        1.492e-10         25.0000        1               
